epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,280.077,0.98202,0.80987,1.31266,0.8462,0.82688,0.84528,0.53626,1.25389,0.78843,1.49981,0.00045009,0.00045009,0.00045009
2,541.161,0.97366,0.73537,1.27247,0.93765,0.76061,0.82121,0.53762,1.27365,0.91313,1.54379,0.000912312,0.000912312,0.000912312
3,805.625,1.03176,0.74279,1.28911,0.90456,0.79907,0.85273,0.53391,1.30124,0.80434,1.6184,0.00136991,0.00136991,0.00136991
4,1074.29,1.05688,0.78999,1.32334,0.80705,0.82797,0.8404,0.45256,1.53325,1.08962,1.85726,0.00164225,0.00164225,0.00164225
5,1331.6,1.08113,0.82749,1.32668,0.78179,0.8734,0.8734,0.51776,1.37824,0.89043,1.66498,0.00163399,0.00163399,0.00163399
6,1590.76,1.08497,0.81757,1.34184,0.71105,0.7643,0.718,0.4197,1.46277,1.33627,1.76906,0.00162574,0.00162574,0.00162574
7,1853.25,1.03882,0.7515,1.31572,0.74255,0.81226,0.81031,0.4855,1.33576,0.86272,1.61292,0.00161749,0.00161749,0.00161749
8,2113.86,1.04972,0.78316,1.31754,0.83247,0.80059,0.83947,0.4859,1.35162,1.10542,1.65236,0.00160924,0.00160924,0.00160924
9,2360.65,1.04352,0.74915,1.32116,0.82291,0.79045,0.82325,0.51302,1.39396,0.90562,1.62474,0.00160099,0.00160099,0.00160099
10,2646.42,1.02273,0.76082,1.30288,0.88518,0.78914,0.81522,0.46873,1.3905,0.94506,1.66385,0.00159274,0.00159274,0.00159274
11,2972.75,1.00965,0.72196,1.30068,0.89138,0.75849,0.818,0.50106,1.34052,1.25287,1.58775,0.00158448,0.00158448,0.00158448
12,3280.36,1.00991,0.6953,1.29003,0.7909,0.74063,0.83332,0.49678,1.34095,0.90778,1.61786,0.00157623,0.00157623,0.00157623
13,3545.62,1.03713,0.70246,1.30156,0.95322,0.89568,0.94239,0.59461,1.26269,0.65508,1.47903,0.00156798,0.00156798,0.00156798
14,3801.87,1.02645,0.70706,1.27811,0.93839,0.88488,0.91704,0.55019,1.30412,0.77222,1.55379,0.00155973,0.00155973,0.00155973
15,4066.82,0.97586,0.68605,1.27782,0.92489,0.71929,0.78947,0.4814,1.44316,1.05356,1.67588,0.00155148,0.00155148,0.00155148
16,4348.16,1.01258,0.71237,1.27914,0.93472,0.83753,0.90685,0.56765,1.2364,0.64989,1.55906,0.00154323,0.00154323,0.00154323
17,4613.61,0.98282,0.68196,1.28482,0.9241,0.85846,0.91529,0.59525,1.19439,0.64656,1.49337,0.00153497,0.00153497,0.00153497
18,4863.75,1.01314,0.6817,1.28823,0.92141,0.87599,0.89539,0.49541,1.43497,0.70488,1.69833,0.00152672,0.00152672,0.00152672
19,5112.81,0.98674,0.6525,1.25872,0.92292,0.83256,0.88645,0.54764,1.26221,0.7364,1.48894,0.00151847,0.00151847,0.00151847
20,5348.6,0.95884,0.63759,1.25872,0.85873,0.77537,0.81912,0.50263,1.36958,0.80195,1.6204,0.00151022,0.00151022,0.00151022
21,5582.67,0.9644,0.64022,1.25789,0.90448,0.85035,0.91839,0.61458,1.19246,0.66967,1.43182,0.00150197,0.00150197,0.00150197
22,5814.46,0.93245,0.6232,1.23969,0.90169,0.87769,0.91769,0.56652,1.27314,0.70454,1.46886,0.00149372,0.00149372,0.00149372
23,6046.82,0.95063,0.62192,1.24032,0.88438,0.82942,0.8945,0.50111,1.36815,0.69338,1.62126,0.00148546,0.00148546,0.00148546
24,6276.61,0.95324,0.62592,1.24396,0.89191,0.85433,0.84768,0.5264,1.2325,0.70064,1.47134,0.00147721,0.00147721,0.00147721
25,6504.59,0.92335,0.61164,1.2384,0.8269,0.87487,0.83538,0.50965,1.26992,0.74971,1.54275,0.00146896,0.00146896,0.00146896
26,6733.03,0.90704,0.60098,1.21698,0.93107,0.86295,0.92121,0.56917,1.24669,0.65338,1.52289,0.00146071,0.00146071,0.00146071
27,6969.21,0.93025,0.6048,1.23507,0.92185,0.9396,0.9375,0.62187,1.15235,0.54504,1.41603,0.00145246,0.00145246,0.00145246
