epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.463,1.36165,2.64915,1.62543,0.00819,1,0.66711,0.452,0.98231,2.77769,1.29115,0.00021671,0.00021671,0.00021671
2,269.789,1.16424,1.53918,1.44446,0.93601,0.64209,0.93447,0.58429,1.22624,2.28239,1.51669,0.000441178,0.000441178,0.000441178
3,390.967,1.10189,1.29314,1.36892,0.84859,0.69059,0.86341,0.50815,1.32775,2.05667,1.7044,0.000656405,0.000656405,0.000656405
4,541.186,1.11313,1.19326,1.36243,0.75767,0.78909,0.89337,0.48003,1.39865,1.96852,1.7396,0.000862389,0.000862389,0.000862389
5,672.177,1.02435,1.04665,1.2995,0.69629,0.63289,0.74484,0.361,1.55041,2.15242,1.80924,0.00105913,0.00105913,0.00105913
6,802.638,1.06711,1.09348,1.34402,0.6107,0.78275,0.68889,0.34251,1.65812,1.75148,2.01642,0.00124663,0.00124663,0.00124663
7,938.04,1.02923,1.0092,1.30915,0.76433,0.30435,0.32034,0.18578,1.78388,3.76925,1.99638,0.00142489,0.00142489,0.00142489
8,1067,1.07707,1.02186,1.34061,0.55373,0.56634,0.51745,0.24144,1.74688,1.9806,2.11323,0.00143595,0.00143595,0.00143595
9,1196.86,1.07557,0.94347,1.3126,0.7253,0.56972,0.66152,0.37656,1.42222,1.70741,1.77559,0.00140295,0.00140295,0.00140295
10,1327.01,1.01655,0.89917,1.28699,0.83754,0.84987,0.90051,0.53622,1.25639,1.04743,1.59858,0.00136994,0.00136994,0.00136994
11,1453.98,1.03439,0.87494,1.30475,0.79829,0.80714,0.87639,0.51326,1.30008,1.06761,1.55766,0.00133693,0.00133693,0.00133693
12,1581.41,0.97592,0.8221,1.26824,0.83709,0.89405,0.92332,0.53248,1.38575,1.11183,1.67299,0.00130393,0.00130393,0.00130393
13,1709.84,0.95893,0.80572,1.25351,0.85092,0.95358,0.93814,0.52633,1.35083,1.10861,1.7179,0.00127092,0.00127092,0.00127092
