epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1791.34,1.26033,2.26082,1.40554,0.52091,0.78349,0.6203,0.38773,1.42425,1.61757,1.46333,0.00990909,0.00330303,0.00990909,0.00330303,0.00990909,0.00330303,0.00990909,0.00330303
2,3340.07,1.20908,1.33476,1.31012,0.47547,0.70366,0.53509,0.3098,1.63284,1.58429,1.72248,0.0198105,0.00660351,0.0198105,0.00660351,0.0198105,0.00660351,0.0198105,0.00660351
3,4672.48,1.22648,1.23098,1.33688,0.10849,0.09974,0.04958,0.01557,3.54228,4.74231,4.2816,0.029613,0.009871,0.029613,0.009871,0.029613,0.009871,0.029613,0.009871
4,5998.51,1.29266,1.24814,1.38943,0.32203,0.5369,0.32064,0.15879,1.53497,2.02123,1.65561,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,7324.1,1.26323,1.19964,1.37378,0.45431,0.78497,0.55744,0.35032,1.29937,1.055,1.47234,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,8634.41,1.23125,1.15598,1.36356,0.48679,0.80994,0.61816,0.37936,1.31498,0.985,1.41247,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,9963.78,1.2022,1.14516,1.34164,0.54761,0.77091,0.68285,0.43133,1.22471,0.99815,1.3752,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,11287.9,1.17897,1.11596,1.32786,0.47828,0.79647,0.58571,0.35154,1.32542,0.956,1.39434,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,12604.7,1.14466,1.09971,1.31677,0.67683,0.60953,0.72262,0.47398,1.30786,0.83558,1.3981,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,13939.5,1.14132,1.09934,1.30869,0.53895,0.78919,0.65846,0.42043,1.23921,0.86368,1.3374,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,15271.8,1.11834,1.0813,1.30634,0.47236,0.6471,0.60314,0.37185,1.26088,0.87253,1.36446,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,16612.6,1.10465,1.0559,1.29533,0.54628,0.79656,0.63599,0.41405,1.18891,0.80229,1.30802,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,17955.3,1.07339,1.02256,1.28062,0.49446,0.78901,0.63435,0.38444,1.28656,0.95678,1.38056,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,19288.5,1.07119,1.03851,1.28833,0.49686,0.78361,0.6252,0.36789,1.32235,0.88148,1.46186,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,20667.9,1.04787,1.01483,1.26616,0.52506,0.6202,0.56945,0.38348,1.10738,0.93796,1.25161,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,22017.9,1.02751,1.02621,1.25883,0.56868,0.79731,0.63114,0.44086,1.11294,0.88371,1.25739,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,23391.3,1.02361,1.00168,1.25004,0.61671,0.81821,0.66396,0.4671,1.06721,0.78329,1.21084,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,24891.9,1.00614,1.00048,1.24645,0.58475,0.63244,0.64114,0.41629,1.17612,0.79936,1.29049,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,26402.8,1.00442,0.972,1.24099,0.67716,0.73539,0.81669,0.5524,1.12605,0.84902,1.2713,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,27808.1,0.99681,0.99519,1.23689,0.97449,0.62589,0.66444,0.45623,1.01188,0.85957,1.19741,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,29178.1,0.98052,0.97237,1.22449,0.56842,0.62455,0.65111,0.45188,1.03691,0.82351,1.23348,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,30511.4,0.97535,0.95924,1.22911,0.59553,0.60446,0.64559,0.41544,0.96635,0.93578,1.23476,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,31878.4,0.96348,0.96161,1.21809,0.63573,0.81006,0.66268,0.44366,1.0261,0.86017,1.20497,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,33226.5,0.95482,0.95696,1.22104,0.58117,0.81732,0.64471,0.44474,1.02401,0.83483,1.21739,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,34561.6,0.93885,0.93267,1.20874,0.63,0.64327,0.66066,0.4525,0.89134,0.95665,1.19059,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,35900.5,0.94476,0.93635,1.21309,0.97326,0.64162,0.65233,0.4666,0.92281,0.83873,1.15629,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,37251.4,0.93477,0.9487,1.20799,0.97785,0.64466,0.65197,0.45469,0.97556,0.79267,1.20766,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,38610.7,0.92726,0.93193,1.20726,0.97539,0.63977,0.65607,0.45272,0.90714,0.8625,1.16882,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,39955.8,0.92739,0.927,1.20548,0.59857,0.78503,0.65815,0.45435,0.87797,0.92553,1.16054,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,41300.1,0.91032,0.91793,1.1979,0.64655,0.81592,0.67417,0.46905,0.89274,0.88914,1.15371,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,42651.2,0.90884,0.92433,1.19663,0.96149,0.65895,0.663,0.45714,0.91206,0.8892,1.17833,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,44025.8,0.90277,0.91973,1.18953,0.94957,0.64212,0.65562,0.45678,0.98366,0.82018,1.2075,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,45399,0.88785,0.90381,1.18413,0.97862,0.6489,0.65781,0.45505,0.84501,0.92359,1.1483,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,46770.1,0.89709,0.90319,1.18395,0.97343,0.64047,0.66406,0.45262,0.88184,0.88248,1.18523,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,48123.9,0.89487,0.9156,1.19158,0.97873,0.65747,0.66871,0.45806,0.86818,0.87956,1.14354,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,49496.4,0.88515,0.8944,1.18626,0.97698,0.63224,0.65333,0.45882,0.84177,0.82808,1.13183,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,50845.6,0.87411,0.8952,1.16984,0.64672,0.63217,0.65068,0.43221,0.85346,0.86782,1.15641,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
